id,title,description,imageUrl,link,region,type
1,Skyline Infinity Sky Villa,"$12,800,000 · 5 Bed · 6 Bath · 9,200 sqft · Palm Jumeirah, Dubai",https://images.unsplash.com/photo-1613490493576-7fde63acd811?auto=format&fit=crop&w=1200&q=80,/properties/dubai-villa.html,dubai,Villa
2,Palm Horizon Crown Penthouse,"$16,000,000 · 4 Bed · 5.5 Bath · 6,900 sqft · Palm Jumeirah, Dubai",https://images.unsplash.com/photo-1600585154340-0ef3c08c0632?auto=format&fit=crop&w=900&q=80,/properties/dubai-penthouse.html,dubai,Penthouse
3,Marina Sands Signature Townhouse,"$8,960,000 · 3 Bed · 5 Bath · 5,060 sqft · Palm Jumeirah, Dubai",https://images.unsplash.com/photo-1512914890250-353c97c9e7e2?auto=format&fit=crop&w=900&q=80,/properties/dubai-townhouse.html,dubai,Townhouse
4,Riviera Private Villa Retreat,"$24,725,000 · 4 Bed · 4.5 Bath · 5,940 sqft · Monte-Carlo, Monaco",https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?auto=format&fit=crop&w=1200&q=80,/properties/monaco-villa.html,monaco,Villa
5,Harbor View Crown Penthouse,"$21,500,000 · 3 Bed · 4 Bath · 4,050 sqft · Monte-Carlo, Monaco",https://images.unsplash.com/photo-1479839672679-a46483c0e7c8?auto=format&fit=crop&w=900&q=80,/properties/monaco-penthouse.html,monaco,Penthouse
6,Carré d'Or Heritage Townhouse,"$15,050,000 · 3 Bed · 3.5 Bath · 2,970 sqft · Monte-Carlo, Monaco",https://images.unsplash.com/photo-1523365280197-f21d6e1c1d50?auto=format&fit=crop&w=900&q=80,/properties/monaco-townhouse.html,monaco,Townhouse
7,Star Island Waterfront Villa,"$10,235,000 · 6 Bed · 7 Bath · 12,100 sqft · Star Island, Miami",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=1200&q=80,/properties/miami-villa.html,miami,Villa
8,Brickell Bay Sky Penthouse,"$11,125,000 · 5 Bed · 6.5 Bath · 8,250 sqft · Star Island, Miami",https://images.unsplash.com/photo-1507089947368-19c1da9775ae?auto=format&fit=crop&w=900&q=80,/properties/miami-penthouse.html,miami,Penthouse
9,Design District Modern Townhouse,"$6,230,000 · 4 Bed · 6 Bath · 6,050 sqft · Star Island, Miami",https://images.unsplash.com/photo-1505691938895-1758d7feb511?auto=format&fit=crop&w=900&q=80,/properties/miami-townhouse.html,miami,Townhouse
10,Oceanfront Island Villa Sanctuary,"$6,400,000 · 4 Bed · 4 Bath · 5,100 sqft · North Malé Atoll, Maldives",https://images.unsplash.com/photo-1540202404-a2f29016b523?auto=format&fit=crop&w=1200&q=80,/properties/maldives-villa.html,maldives,Villa
11,Overwater Sky Penthouse Suite,"$8,000,000 · 3 Bed · 3.5 Bath · 3,825 sqft · North Malé Atoll, Maldives",https://images.unsplash.com/photo-1501117716987-c8e1ecb2108a?auto=format&fit=crop&w=900&q=80,/properties/maldives-penthouse.html,maldives,Penthouse
12,Lagoon Edge Townhouse Residence,"$4,480,000 · 3 Bed · 3 Bath · 2,805 sqft · North Malé Atoll, Maldives",https://images.unsplash.com/photo-1469796466635-455ede028aca?auto=format&fit=crop&w=900&q=80,/properties/maldives-townhouse.html,maldives,Townhouse
13,Pampelonne Sunset Villa Estate,"$10,695,000 · 7 Bed · 7.5 Bath · 17,160 sqft · Pampelonne, Saint-Tropez",https://images.unsplash.com/photo-1600573472550-8090b5e0745e?auto=format&fit=crop&w=1200&q=80,/properties/sainttropez-villa.html,sainttropez,Villa
14,Côte d'Azur Panorama Penthouse,"$11,625,000 · 6 Bed · 7 Bath · 11,700 sqft · Pampelonne, Saint-Tropez",https://images.unsplash.com/photo-1519817650390-64a93db511aa?auto=format&fit=crop&w=900&q=80,/properties/sainttropez-penthouse.html,sainttropez,Penthouse
15,Old Town Signature Townhouse,"$6,510,000 · 5 Bed · 6.5 Bath · 8,580 sqft · Pampelonne, Saint-Tropez",https://images.unsplash.com/photo-1500534314211-0a24cd03f2c0?auto=format&fit=crop&w=900&q=80,/properties/sainttropez-townhouse.html,sainttropez,Townhouse
16,Clifftop Cycladic Villa,"$3,700,000 · 5 Bed · 5 Bath · 4,300 sqft · Agios Ioannis, Mykonos",https://images.unsplash.com/photo-1613977257592-4871e5fcd7c4?auto=format&fit=crop&w=1200&q=80,/properties/mykonos-villa.html,mykonos,Villa
17,Aegean Vista Sky Penthouse,"$4,625,000 · 4 Bed · 4.5 Bath · 3,655 sqft · Agios Ioannis, Mykonos",https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=900&q=80,/properties/mykonos-penthouse.html,mykonos,Penthouse
18,Little Venice Townhouse,"$2,590,000 · 3 Bed · 4 Bath · 2,795 sqft · Agios Ioannis, Mykonos",https://images.unsplash.com/photo-1499951360447-b19be8fe80f5?auto=format&fit=crop&w=900&q=80,/properties/mykonos-townhouse.html,mykonos,Townhouse
19,Mayfair Garden Villa Residence,"$16,330,000 · 6 Bed · 6.5 Bath · 9,240 sqft · Belgravia, London",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=1200&q=80,/properties/london-villa.html,london,Villa
20,Knightsbridge Skyline Penthouse,"$17,750,000 · 5 Bed · 6 Bath · 6,300 sqft · Belgravia, London",https://images.unsplash.com/photo-1479839672679-a46483c0e7c8?auto=format&fit=crop&w=900&q=80,/properties/london-penthouse.html,london,Penthouse
21,Belgravia Prime Townhouse,"$14,200,000 · 4 Bed · 5.5 Bath · 4,620 sqft · Belgravia, London",https://images.unsplash.com/photo-1500534314211-0a24cd03f2c0?auto=format&fit=crop&w=900&q=80,/properties/london-townhouse.html,london,Townhouse
22,Sentosa Cove Waterfront Villa,"$12,995,000 · 5 Bed · 6 Bath · 7,920 sqft · Sentosa Cove, Singapore",https://images.unsplash.com/photo-1525625293386-3f8f99389edd?auto=format&fit=crop&w=1200&q=80,/properties/singapore-villa.html,singapore,Villa
23,Marina Bay Iconic Penthouse,"$14,125,000 · 4 Bed · 5.5 Bath · 5,400 sqft · Sentosa Cove, Singapore",https://images.unsplash.com/photo-1496307042754-b4aa456c4a2d?auto=format&fit=crop&w=900&q=80,/properties/singapore-penthouse.html,singapore,Penthouse
24,Bukit Timah Signature Townhouse,"$7,910,000 · 3 Bed · 5 Bath · 3,960 sqft · Sentosa Cove, Singapore",https://images.unsplash.com/photo-1505691723518-36a5ac3be353?auto=format&fit=crop&w=900&q=80,/properties/singapore-townhouse.html,singapore,Townhouse
25,Bosphorus Private Villa,"$9,085,000 · 5 Bed · 5.5 Bath · 7,150 sqft · Bosphorus, Istanbul",https://images.unsplash.com/photo-1600585154363-67eb9e2e2099?auto=format&fit=crop&w=1200&q=80,/properties/istanbul-villa.html,istanbul,Villa
26,Nişantaşı Grand Penthouse,"$9,875,000 · 4 Bed · 5 Bath · 4,875 sqft · Bosphorus, Istanbul",https://images.unsplash.com/photo-1552850663-9b3f1a56b51e?auto=format&fit=crop&w=900&q=80,/properties/istanbul-penthouse.html,istanbul,Penthouse
27,Bebek Waterfront Townhouse,"$5,530,000 · 3 Bed · 4.5 Bath · 3,575 sqft · Bosphorus, Istanbul",https://images.unsplash.com/photo-1523217582562-09d0def993a6?auto=format&fit=crop&w=900&q=80,/properties/istanbul-townhouse.html,istanbul,Townhouse
